% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 22:51
% Dimension:          2
% Nodes:              401
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x
-2                        0                        1.4995578599253574       -5.200034289554592E-11   0.9439573028877452       -0.018447459492279508    0.9440215705681534       -0.01837904722740883     -1.433966052471539       -1.4339940133119637
-1.99                     0                        1.499557887180257        -6.92493211570146E-11    0.9437728479552178       -0.018443527013220152    0.9438378032538874       -0.018374415625807553    -1.4336855448710406      -1.4337138377140624
-1.98                     0                        1.4995579173506144       2.338028840290267E-11    0.9435884320955585       -0.01843967999412176     0.943654082005122        -0.018369867896618524    -1.4334051840634692      -1.4334338178076251
-1.97                     0                        1.499557950771058        -1.109171326495003E-10   0.9434040555032689       -0.01843568213260712     0.9434704071050993       -0.01836515470246059     -1.4331247343521942      -1.433153704994119
-1.96                     0                        1.4995579877618084       2.533203183073233E-11    0.9432197181285096       -0.01843177364479265     0.9432867785893108       -0.018360528948671045    -1.4328444361788404      -1.4328737525323763
-1.95                     0                        1.499558028437567        -8.923371502404621E-11   0.9430354200621966       -0.0184278423234614      0.9431031965963903       -0.018355869900889537    -1.4325641775787217      -1.4325938400021396
-1.94                     0                        1.4995580734571914       -1.0951160410763561E-11  0.9428511611752439       -0.018423918066698994    0.9429196610937584       -0.018351213511422222    -1.4322839888755237      -1.4323140039260864
-1.93                     0                        1.4995581230607309       -8.280034393052416E-11   0.942666941517844        -0.01842000787975968     0.9427361721748801       -0.01834656102362247     -1.4320038773736576      -1.4320342459116437
-1.92                     0                        1.4995581774753577       -1.3891946718238674E-10  0.9424827613211051       -0.01841603146799432     0.942552730192335        -0.01834183548541026     -1.4317237633366133      -1.4317544897470507
-1.91                     0                        1.4995582370830087       9.22135683801303E-11     0.942298620561414        -0.01841211871088437     0.9423693351627919       -0.018337165765189616    -1.4314437769657093      -1.4314748646829927
-1.9                      0                        1.4995583026673984       -4.6543998307114354E-11  0.942114519043491        -0.01840819701502073     0.9421859869830104       -0.018332481460172207    -1.4311638461101905      -1.4311953008974228
-1.89                     0                        1.4995583743881131       -7.814956398795005E-11   0.9419304568814724       -0.018404235873039358    0.9420026858247242       -0.018327747536028872    -1.4308839405808729      -1.4309157637605887
-1.88                     0                        1.4995584532039394       -2.5396425145142857E-11  0.9417464342597809       -0.01840028846525255     0.9418194319914746       -0.018323019113909052    -1.430604114734175       -1.4306363097484573
-1.87                     0                        1.4995585395249853       -3.7377435368828025E-11  0.9415624510326515       -0.018396364853427556    0.9416362253627215       -0.018318314981086378    -1.4303243787955158      -1.430356957849829
-1.8599999999999999       0                        1.4995586334788853       -1.3925274585232691E-10  0.941378507099573        -0.018392407373899636    0.9414530659552299       -0.01831355382328509     -1.4300446750665285      -1.4300776268916164
-1.85                     0                        1.4995587363206913       -1.3121285516848695E-10  0.9411946028875117       -0.018388435038371193    0.9412699542883071       -0.018308779561274444    -1.429765024376223       -1.4297983627504829
-1.84                     0                        1.4995588484001217       -5.1720068630170254E-11  0.9410107381302779       -0.018384517322488855    0.9410868901214497       -0.018304050124310408    -1.4294854961252768      -1.4295192233192833
-1.83                     0                        1.4995589705178374       -9.01593891043913E-11    0.9408269129585053       -0.01838051703201075     0.9409038737321677       -0.018299227732054568    -1.429205954063542       -1.4292400719821092
-1.82                     0                        1.499559103155574        6.092319276680739E-11    0.9406431275713415       -0.01837657108979306     0.9407209053642489       -0.018294452922524792    -1.428926535860128       -1.4289610500902374
-1.81                     0                        1.4995592479392756       7.301375487559072E-11    0.9404593816753632       -0.01837260810582771     0.9405379848330903       -0.0182896533092009      -1.4286471712083717      -1.4286820865038317
-1.8                      0                        1.4995594051681578       -2.2300408296143487E-10  0.9402756752537337       -0.018368636580610005    0.9403551121590628       -0.018284837162645395    -1.4283678688581867      -1.428403189798726
-1.79                     0                        1.4995595761061549       -9.824983321500061E-11   0.9400920085968367       -0.018364685254151202    0.9401722877769869       -0.018280029279863268    -1.4280886591664075      -1.4281243866054756
-1.78                     0                        1.4995597612352292       -7.584394571685784E-11   0.9399083817234132       -0.018360700127937325    0.9399895117552642       -0.018275183067554306    -1.4278094886080894      -1.427845630878898
-1.77                     0                        1.4995599623477942       -1.324701380645009E-10   0.9397247945533461       -0.018356721221125565    0.9398067841215451       -0.018270330666589767    -1.42753039875883        -1.4275669564780953
-1.76                     0                        1.499560179732447        -2.700101484595727E-10   0.9395412472126046       -0.018352748981337968    0.9396241050780791       -0.018265476976758056    -1.4272513905175186      -1.427288368868582
-1.75                     0                        1.4995604157754099       2.090515242454948E-11    0.9393577395238074       -0.018348803381440848    0.9394414745427266       -0.01826064426118028     -1.4269724858236108      -1.4270098924231356
-1.74                     0                        1.499560670712813        -3.2382668177041426E-10  0.9391742716682718       -0.018344795070118648    0.9392588927738497       -0.018255733981362515    -1.42669359580921        -1.4267314292022906
-1.73                     0                        1.4995609459817942       -1.9874325504146416E-10  0.9389908438418236       -0.018340796890863598    0.9390763600855356       -0.018250829732128947    -1.426414794950552       -1.4264530646111346
-1.72                     0                        1.4995612435464074       -6.54417839430914E-12    0.9388074558246958       -0.01833680653472819     0.9388938763350838       -0.018245920358199875    -1.426136082441848       -1.4261747891133452
-1.71                     0                        1.499561564842551        9.872501395214791E-11    0.9386241075835143       -0.018332806232705036    0.9387114415593983       -0.01824099656492183     -1.4258574417995828      -1.4258965948053401
-1.7                      0                        1.4995619117080068       -5.24659534689746E-10    0.9384407993728286       -0.01832882061981474     0.9385290561511938       -0.01823606964554026     -1.4255788997521237      -1.4256184952811357
-1.69                     0                        1.499562284617384        -6.415835966449206E-11   0.9382575313304246       -0.018324787860968215    0.9383467203252875       -0.01823109553571111     -1.4253003951022865      -1.4253404472299287
-1.68                     0                        1.4995626860262743       -4.2301471746739827E-10  0.9380743030420011       -0.01832081435508027     0.9381644337343276       -0.018226163552775787    -1.4250220359169687      -1.4250625417377427
-1.67                     0                        1.4995631186935325       -4.5885765122280485E-10  0.9378911149552632       -0.018316802992524278    0.9379821969839782       -0.01822118651709179     -1.4247437283297932      -1.4247846951053975
-1.66                     0                        1.499563584327626        3.303949936650042E-10    0.9377079669065975       -0.018312840551543922    0.9378000099355887       -0.018216253599830562    -1.4244655604585723      -1.4245069978813252
-1.65                     0                        1.4995640839533906       -1.6659938198833886E-10  0.9375248587703178       -0.018308786704381626    0.9376178726200012       -0.01821120951761192     -1.424187392729825       -1.424229295771351
-1.6400000000000001       0                        1.499564619121387        -9.286140169532508E-11   0.937341791129851        -0.018304763974424727    0.937435785704323        -0.018206194086300316    -1.4239093499766184      -1.4239517310267615
-1.63                     0                        1.499565193607575        -3.468008544748113E-10   0.9371587635940735       -0.018300743181129793    0.937253748905514        -0.018201165675496112    -1.423631405951112       -1.4236742651124188
-1.62                     0                        1.4995658102984246       -3.4281107049457474E-11  0.9369757762576129       -0.018296730100442908    0.9370717623824413       -0.01819614478268642     -1.4233535692541854      -1.4233969214474846
-1.6099999999999999       0                        1.4995664710825827       -5.221580463315309E-10   0.9367928288947374       -0.01829270698999712     0.9368898260458401       -0.018191087672116954    -1.4230758235511483      -1.4231196579088523
-1.6                      0                        1.4995671768218037       -5.024184048826812E-10   0.9366099221220409       -0.018288647549298997    0.9367079406331479       -0.018185994866312033    -1.4227981442491373      -1.4228424769081274
-1.5899999999999999       0                        1.499567931612421        -2.682474920653909E-10   0.9364270555870292       -0.01828464007642113     0.9365261058528137       -0.018180939989320313    -1.4225206229289722      -1.4225654554440594
-1.58                     0                        1.4995687388587862       -1.3138808202100572E-10  0.936244229320042        -0.018280597275418812    0.9363443218725198       -0.01817583957470311     -1.4222431755006903      -1.422288513462663
-1.57                     0                        1.4995695987634408       7.204818154008358E-10    0.9360614435302829       -0.018276560387546586    0.9361625890040383       -0.01817073226136642     -1.42196584368018        -1.422011690231496
-1.56                     0                        1.4995705178076513       -9.825192626887322E-10   0.9358786980431388       -0.018272535684896164    0.9359809071632932       -0.018165631775407247    -1.4216886395145962      -1.421735005388342
-1.55                     0                        1.4995714959786968       1.281153358926644E-9     0.9356959930624305       -0.018268460456734126    0.9357992766933286       -0.018160462217511875    -1.421411500554635       -1.4214583835043089
-1.54                     0                        1.4995725364936527       -5.946019763660749E-10   0.935513328612997        -0.018264436471907928    0.9356176977029887       -0.018155339658184833    -1.42113453158372        -1.4211819437910074
-1.53                     0                        1.4995736424075048       8.162182554159733E-10    0.93533070463536         -0.01826036384796944     0.9354361702631593       -0.018150150294227112    -1.4208576354535944      -1.4209055753754798
-1.52                     0                        1.4995748179983917       -7.859593281786336E-11   0.9351481212934343       -0.018256304537203075    0.9352546946613409       -0.018144970069510706    -1.4205808783273426      -1.4206293585984324
-1.51                     0                        1.4995760679652632       3.160982946678265E-10    0.9349655782924411       -0.0182522557399481      0.9350732706525992       -0.01813978534186412     -1.4203042613185952      -1.4203532838065072
-1.5                      0                        1.499577390955276        1.4066062056181423E-9    0.9347830761312987       -0.018248176488480976    0.9348918989494168       -0.018134555294525147    -1.4200277429026011      -1.4200773099463153
-1.49                     0                        1.499578791797158        6.02682543510337E-11     0.9346006146495591       -0.018244158719878587    0.9347105794334454       -0.018129385722172632    -1.4197514192489455      -1.4198015471090002
-1.48                     0                        1.499580275186877        1.5133551119617533E-10   0.9344181937489955       -0.018240043492952863    0.9345293121366904       -0.018124093350891598    -1.419475135614696       -1.4195258164150326
-1.47                     0                        1.4995818439266904       -9.144202897342028E-10   0.9342358135289407       -0.01823597772316332     0.9343480973207402       -0.018118846661163947    -1.419199041637244       -1.4192502893107943
-1.46                     0                        1.499583498199437        -4.091057292011472E-10   0.93405347416073         -0.018231901065859486    0.9341669352069183       -0.018113575692570293    -1.4189230773531445      -1.4189748962924076
-1.45                     0                        1.4995852435605928       2.9957027753565345E-12   0.9338711754642299       -0.0182278126548631      0.9339858258084756       -0.01810827831681342     -1.4186472467676075      -1.4186996403939576
-1.44                     0                        1.4995870782902772       3.7662823533718706E-10   0.9336889177713443       -0.018223734431630858    0.9338047695333939       -0.018102980190701612    -1.418371570664372       -1.4184245462288092
-1.43                     0                        1.499589009750683        1.2687475371022143E-10   0.9335067008512916       -0.01821964957889502     0.9336237663014243       -0.018097666203179878    -1.4180960387041106      -1.418149605390836
-1.42                     0                        1.4995910398447718       -1.3156065289849849E-9   0.9333245246274203       -0.01821558380503125     0.9334428161136443       -0.01809235422814019     -1.417820678203692       -1.4178748374796322
-1.4100000000000001       0                        1.4995931667775935       -1.531615824847377E-10   0.933142389419153        -0.018211457848461926    0.9332619194863281       -0.018086971235069523    -1.41754540865194        -1.4176001685105077
-1.4                      0                        1.499595391058618        -3.6090767986946573E-10  0.9329602952188851       -0.018207372616429456    0.9330810764944543       -0.018081613587731797    -1.4172703313673571      -1.417325695382829
-1.3900000000000001       0                        1.4995977176245159       6.245001483497239E-10    0.9327782417942885       -0.018203323507908622    0.9329002870476514       -0.018076285763612893    -1.4169954459524325      -1.4170514269915266
-1.38                     0                        1.4996001453150272       7.184437365808273E-11    0.9325962295226905       -0.018199162297274956    0.9327195516272602       -0.01807082489376381     -1.4167206036097482      -1.4167772000521701
-1.37                     0                        1.4996026721397715       -1.4349722025390128E-9   0.9324142581753516       -0.018195066432075902    0.9325388702052314       -0.01806541892820228     -1.416445979533056       -1.416503200562171
-1.3599999999999999       0                        1.499605295430917        -1.3954457375759077E-9   0.9322323280437376       -0.01819096900935422     0.9323582431336153       -0.018059998763527544    -1.4161715047156347      -1.4162293574053633
-1.35                     0                        1.4996080189404541       5.229571788026316E-10    0.9320504388033887       -0.01818691274270162     0.9321776702620218       -0.018054607912629594    -1.4158972248292323      -1.415955717314788
-1.3399999999999999       0                        1.4996108357197862       1.3583587001327452E-9    0.9318685905692856       -0.01818273842008579     0.9319971518077875       -0.018049081817501623    -1.4156229743047115      -1.4156821095284382
-1.33                     0                        1.4996137404980188       -7.770665859676459E-10   0.9316867836086364       -0.018178652551327765    0.9318166882393599       -0.018043630138219167    -1.4153489550912433      -1.415408739447322
-1.3199999999999998       0                        1.4996167297415293       -1.9816184453909847E-9   0.9315050177444966       -0.01817453489596343     0.9316362794463453       -0.01803813829496627     -1.4150750433437906      -1.4151354889868601
-1.31                     0                        1.499619796630264        1.1824066766235527E-9    0.9313232929197091       -0.018170417403428233    0.9314559255565251       -0.01803262490233607     -1.4148012645287102      -1.4148623705554666
-1.2999999999999998       0                        1.4996229298574233       -1.2845817793688302E-9   0.9311416093577428       -0.01816630500592284     0.9312756269276748       -0.01802710666263787     -1.4145276133431375      -1.4145893908207263
-1.29                     0                        1.4996261215714566       1.5587686654957777E-9    0.930959966861607        -0.018162198668051056    0.9310953834972384       -0.0180215810892283      -1.4142540831110146      -1.41431653985628
-1.28                     0                        1.499629359729334        -2.168674764404589E-9    0.930778365491418        -0.01815807122328124     0.9309151954768944       -0.018016016074063043    -1.4139806355150923      -1.414043774629386
-1.27                     0                        1.4996326260622916       -4.919834462278127E-10   0.9305968054368665       -0.018153951983245674    0.930735063202196        -0.01801044623074098     -1.4137072831257134      -1.413771113228903
-1.26                     0                        1.4996358997720047       1.017326323683397E-9     0.9304152864980492       -0.018149835780264436    0.930554986646857        -0.01800486483709665     -1.413434001109394       -1.4134985295245819
-1.25                     0                        1.4996391755273253       1.1142871287006636E-9    0.9302338085787921       -0.0181457569605715      0.9303749657792116       -0.017999309531161814    -1.413160818705315       -1.4132260561435623
-1.24                     0                        1.4996424124529164       -6.772148799272452E-10   0.9300523718475887       -0.018141589280070956    0.9301950010279298       -0.017993640725184362    -1.4128875719051457      -1.4129535161183522
-1.23                     0                        1.4996455901717574       -1.4124881248765886E-9   0.929870976596774        -0.018137486642515414    0.9300150927841696       -0.017988028243375094    -1.412614396124573       -1.4126810609303329
-1.22                     0                        1.4996486717665067       2.881223348671445E-9     0.9296896223182208       -0.018133369068091192    0.9298352407146897       -0.01798238565260158     -1.4123411763327163      -1.412408569352076
-1.21                     0                        1.4996516362250185       -1.527067136878749E-9    0.929508308912817        -0.018129250374618693    0.9296554448129086       -0.017976724434532295    -1.4120679067204747      -1.412136033373708
-1.2                      0                        1.4996544209082596       -2.410037987234882E-9    0.9293270369048438       -0.01812517635788811     0.929475705859545        -0.017971090658863757    -1.4117945757218102      -1.4118634420779554
-1.19                     0                        1.4996570002098952       -5.0813714667169035E-9   0.9291458058325717       -0.01812106659031846     0.9292960234643614       -0.01796540910459343     -1.4115210785227987      -1.4115906959601419
-1.18                     0                        1.4996593046457751       8.238746567577649E-10    0.9289646158488641       -0.018116930151256462    0.9291163980191454       -0.01795967993859216     -1.4112473599956936      -1.411317731326971
-1.17                     0                        1.4996612882887586       -5.3033100093090955E-9   0.9287834670019885       -0.018112841973391542    0.9289368296876388       -0.01795398424572635     -1.4109734526388933      -1.4110445869939658
-1.1600000000000001       0                        1.4996628638344744       8.354918131967415E-9     0.9286023590087603       -0.018108733474285148    0.9287573183489216       -0.017948258732493397    -1.4106992065488113      -1.410771118574864
-1.15                     0                        1.4996639782159185       -1.1597694104621095E-8   0.928421291746932        -0.018104660711965308    0.9285778640670885       -0.017942538608706798    -1.4104246285535311      -1.4104973123187972
-1.1400000000000001       0                        1.49966455047197         1.6722645723984894E-8    0.9282402656395207       -0.018100583587838625    0.9283984674357374       -0.017936805612016733    -1.4101496042881123      -1.4102230759378978
-1.13                     0                        1.499664478943659        -1.9124057344968268E-8   0.9280592801192686       -0.018096523088889503    0.9282191280459806       -0.017931071025340826    -1.4098740598377797      -1.4099483260319539
-1.12                     0                        1.4996636559861232       3.254796421102965E-9     0.9278783352868846       -0.018092449199490674    0.928039846183364        -0.01792530408304485     -1.4095978658061379      -1.4096729327111879
-1.1099999999999999       0                        1.499661985938403        2.7705308551044664E-9    0.92769743117741         -0.018088383658417917    0.9278606220415139       -0.017919533969858004    -1.4093209556478876      -1.4093968370946766
-1.1                      0                        1.4996593022723754       -1.9160654570034387E-8   0.9275165675725285       -0.01808433731790162     0.927681455609271        -0.017913752478783775    -1.4090431858897883      -1.4091198769288047
-1.0899999999999999       0                        1.4996554584925605       5.5798625988002426E-9    0.9273357443096809       -0.018080306553268498    0.927502346879934        -0.017907983185588193    -1.4087644173625429      -1.4088419404487416
-1.08                     0                        1.49965039065688         8.579216997096045E-9     0.9271549612567229       -0.018076268380117156    0.9273232958382455       -0.017902179253866994    -1.4084845682282263      -1.4085629221229174
-1.0699999999999998       0                        1.4996438144757478       -4.65834450503514E-8     0.9269742185822349       -0.01807226651753242     0.927144302996828        -0.01789638902962522     -1.4082034195928708      -1.408282608145247
-1.06                     0                        1.4996355540207376       4.882099986688761E-9     0.9267935159000209       -0.01806827021047751     0.9269653680313603       -0.017890604239485908    -1.4079207778900327      -1.4080008274852318
