% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 15:39
% Dimension:          2
% Nodes:              401
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x
-2                        0                        1.4995578599253545       -5.2000554391656395E-11  0.856657488351457        -0.11137720041093022     0                        0                        -1.3959846703322705      0
-1.99                     0                        1.4995578871802542       -6.924988823507973E-11   0.8555389876401523       -0.11232294185002034     0                        0                        -1.395253178556021       0
-1.98                     0                        1.499557917350612        2.3379311554685066E-11   0.8544110273511687       -0.1132709253128189      0                        0                        -1.394509746048934       0
-1.97                     0                        1.499557950771055        -1.1091839923386754E-10  0.8532734871351814       -0.11423862091294333     0                        0                        -1.393771662728648       0
-1.96                     0                        1.4995579877618055       2.533073912574073E-11    0.8521262510294372       -0.11520903218460099     0                        0                        -1.3930217584973148      0
-1.95                     0                        1.499558028437564        -8.923481282298445E-11   0.8509692543053949       -0.11619363003557101     0                        0                        -1.3922714072827531      0
-1.94                     0                        1.4995580734571885       -1.0952400212999883E-11  0.8498023657403639       -0.11718422034065694     0                        0                        -1.3915122187296383      0
-1.93                     0                        1.499558123060728        -8.280162832044385E-11   0.8486255266026653       -0.1181886371656939      0                        0                        -1.3907519390194087      0
-1.92                     0                        1.4995581774753544       -1.389207396310764E-10   0.8474385721194113       -0.11920225948510238     0                        0                        -1.3899857002148035      0
-1.91                     0                        1.4995582370830056       9.221236871474731E-11    0.8462414475474255       -0.12022659079684575     0                        0                        -1.389214924027634       0
-1.9                      0                        1.4995583026673953       -4.654516895070249E-11   0.8450340276642866       -0.121258582794755       0                        0                        -1.3884363750152053      0
-1.89                     0                        1.4995583743881098       -7.815079635856565E-11   0.8438162343454814       -0.12230435414203161     0                        0                        -1.387656054799438       0
-1.88                     0                        1.4995584532039365       -2.5397648277011695E-11  0.8425879059650424       -0.12336132194576213     0                        0                        -1.386871138903045       0
-1.87                     0                        1.499558539524982        -3.7378593600202214E-11  0.8413490081104127       -0.12441764357945015     0                        0                        -1.386069733412293       0
-1.8599999999999999       0                        1.4995586334788822       -1.3925362915346967E-10  0.8400993813751423       -0.12550538768601688     0                        0                        -1.3852836680073795      0
-1.85                     0                        1.4995587363206884       -1.312134320999972E-10   0.8388389007488922       -0.12659073756401207     0                        0                        -1.3844789395476562      0
-1.84                     0                        1.4995588484001185       -5.172041160585595E-11   0.8375675310730524       -0.12768944717625416     0                        0                        -1.3836712495294912      0
-1.83                     0                        1.4995589705178343       -9.015969742504943E-11   0.8362850729613573       -0.12880217516275191     0                        0                        -1.382860958232117       0
-1.82                     0                        1.4995591031555708       6.092277537103122E-11    0.8349914659749047       -0.12992414793857754     0                        0                        -1.382043201798461       0
-1.81                     0                        1.4995592479392723       7.301351724908506E-11    0.833686561995917        -0.13105664785899124     0                        0                        -1.381219041782666       0
-1.8                      0                        1.4995594051681547       -2.230040607526876E-10   0.832370310463726        -0.13219999539818886     0                        0                        -1.3803887230368062      0
-1.79                     0                        1.499559576106152        -9.824970569136053E-11   0.8310425154670995       -0.13335957584241276     0                        0                        -1.3795573380624466      0
-1.78                     0                        1.4995597612352263       -7.584353882947511E-11   0.8297031095639266       -0.13452527583490867     0                        0                        -1.3787146727087152      0
-1.77                     0                        1.499559962347791        -1.3246974717917182E-10  0.8283519462810592       -0.13570783717166077     0                        0                        -1.3778712505476054      0
-1.76                     0                        1.499560179732444        -2.7001003345619884E-10  0.826988922124397        -0.1369012127125265      0                        0                        -1.3770208694101274      0
-1.75                     0                        1.4995604157754072       2.090512819445601E-11    0.8256139075381509       -0.13810231126897918     0                        0                        -1.3761602457268474      0
-1.74                     0                        1.4995606707128102       -3.238267368910592E-10   0.824226798044595        -0.13932352335085926     0                        0                        -1.375301613446084       0
-1.73                     0                        1.4995609459817913       -1.987433466242354E-10   0.8228274331919664       -0.14055031699689868     0                        0                        -1.374430201094013       0
-1.72                     0                        1.4995612435464043       -6.5443487613271825E-12  0.8214157080692559       -0.14179470754519877     0                        0                        -1.3735578682060825      0
-1.71                     0                        1.4995615648425482       9.87242908990833E-11     0.8199915271751259       -0.14304516469852488     0                        0                        -1.3726729423468875      0
-1.7                      0                        1.499561911708004        -5.246606634650764E-10   0.8185547030779022       -0.14431983745564272     0                        0                        -1.3717932928407193      0
-1.69                     0                        1.499562284617381        -6.415975643319431E-11   0.8171051312740865       -0.14559452330751083     0                        0                        -1.370894560733465       0
-1.68                     0                        1.4995626860262712       -4.2301637927105526E-10  0.8156427203992453       -0.14689253338863434     0                        0                        -1.3699999220283017      0
-1.67                     0                        1.4995631186935297       -4.5885967899765136E-10  0.8141672563264546       -0.14820028116953088     0                        0                        -1.3690954712045835      0
-1.66                     0                        1.4995635843276232       3.303925049072374E-10    0.8126787049786787       -0.14951460287541016     0                        0                        -1.3681779946199686      0
-1.65                     0                        1.4995640839533877       -1.6660231863768243E-10  0.8111768535952184       -0.15085567381658815     0                        0                        -1.3672673492022933      0
-1.6400000000000001       0                        1.4995646191213843       -9.286469893250588E-11   0.8096615890886857       -0.15220012625018406     0                        0                        -1.3663399987091738      0
-1.63                     0                        1.4995651936075718       -3.4680450711078547E-10  0.8081327642354126       -0.15356484440445262     0                        0                        -1.3654126094657513      0
-1.62                     0                        1.4995658102984217       -3.4285031005059676E-11  0.8065902918607448       -0.1549298350519494      0                        0                        -1.3644650596449477      0
-1.6099999999999999       0                        1.49956647108258         -5.221618773209609E-10   0.8050339863575756       -0.15633038951849165     0                        0                        -1.3635323635422631      0
-1.6                      0                        1.4995671768218009       -5.024220089335345E-10   0.8034636841819378       -0.15773004560901543     0                        0                        -1.3625778141765668      0
-1.5899999999999999       0                        1.4995679316124182       -2.6825079080978225E-10  0.8018793021859674       -0.1591488263268271      0                        0                        -1.3616213129086474      0
-1.58                     0                        1.4995687388587835       -1.3139113418441614E-10  0.8002806538237763       -0.1605814402385539      0                        0                        -1.360657291026157       0
-1.57                     0                        1.499569598763438        7.204789369285891E-10    0.798667599969631        -0.16203146524421058     0                        0                        -1.3596891176760282      0
-1.56                     0                        1.4995705178076482       -9.825220957998472E-10   0.7970400174474387       -0.1634887813672255      0                        0                        -1.358706493044298       0
-1.55                     0                        1.4995714959786939       1.2811506897948022E-9    0.7953977173324126       -0.164971241637989       0                        0                        -1.3577269865161932      0
-1.54                     0                        1.4995725364936499       -5.946044627604181E-10   0.7937405855241553       -0.16645952099419645     0                        0                        -1.3567311041466088      0
-1.53                     0                        1.499573642407502        8.162158709585443E-10    0.792068444863527        -0.1679724283622285      0                        0                        -1.3557373912622734      0
-1.52                     0                        1.4995748179983883       -7.859854612145227E-11   0.7903811276180497       -0.16949102073326652     0                        0                        -1.3547266563304643      0
-1.51                     0                        1.4995760679652606       3.160953595005048E-10    0.788678565769907        -0.17103002335414244     0                        0                        -1.3537135258998607      0
-1.5                      0                        1.4995773909552736       1.4066031098538466E-9    0.7869604696964597       -0.1725891913352731      0                        0                        -1.3526973192676268      0
-1.49                     0                        1.4995787917971555       6.026507963536664E-11    0.785226782031154        -0.17414979226324992     0                        0                        -1.3516592213482963      0
-1.48                     0                        1.4995802751868745       1.5133234816701606E-10   0.7834773257471563       -0.17574471883506085     0                        0                        -1.3506318625816582      0
-1.47                     0                        1.4995818439266881       -9.14423357437805E-10    0.7817118805102709       -0.1773448258746705      0                        0                        -1.3495857690696615      0
-1.46                     0                        1.499583498199435        -4.0910873761246907E-10  0.779930378576962        -0.1789631168033821      0                        0                        -1.3485338422618325      0
-1.45                     0                        1.4995852435605903       2.992830261236419E-12    0.7781325570336387       -0.18060130189240264     0                        0                        -1.3474774019541167      0
-1.44                     0                        1.499587078290275        3.766254510564544E-10    0.776318312864326        -0.1822543591565031      0                        0                        -1.3464112697679533      0
-1.43                     0                        1.499589009750681        1.268718934347969E-10    0.7744874412966554       -0.18391995437760542     0                        0                        -1.3453328095359953      0
-1.42                     0                        1.4995910398447696       -1.3156093756909779E-9   0.7726398366531363       -0.18560875387268314     0                        0                        -1.3442525299448527      0
-1.4100000000000001       0                        1.4995931667775915       -1.5316413555142394E-10  0.77077523181428         -0.1873122138985703      0                        0                        -1.3431614846486786      0
-1.4                      0                        1.4995953910586157       -3.6091005588782033E-10  0.7688935145662927       -0.18903661121634738     0                        0                        -1.3420657818748205      0
-1.3900000000000001       0                        1.4995977176245139       6.244977921047176E-10    0.7669944917813851       -0.190769606825077       0                        0                        -1.3409527961310161      0
-1.38                     0                        1.499600145315025        7.184203569666998E-11    0.7650780225270826       -0.19253094399647439     0                        0                        -1.3398420577554193      0
-1.37                     0                        1.4996026721397695       -1.434974492861612E-9    0.7631438338907539       -0.1943065320608944      0                        0                        -1.3387190645904572      0
-1.3599999999999999       0                        1.499605295430915        -1.3954480459200007E-9   0.7611918438568245       -0.1960992982797846      0                        0                        -1.3375866181663008      0
-1.35                     0                        1.4996080189404524       5.229548887609156E-10    0.7592218155384238       -0.19790819897082515     0                        0                        -1.3364433217067744      0
-1.3399999999999999       0                        1.4996108357197844       1.3583566316681393E-9    0.7572336100031866       -0.19974033124853735     0                        0                        -1.335296057980525       0
-1.33                     0                        1.499613740498017        -7.770685352564733E-10   0.7552269540617816       -0.20159163078991        0                        0                        -1.3341403482954224      0
-1.3199999999999998       0                        1.4996167297415277       -1.9816202574204744E-9   0.7532017571063401       -0.20345428494713022     0                        0                        -1.3329682407745123      0
-1.31                     0                        1.4996197966302627       1.1824049044726693E-9    0.7511577677553676       -0.2053464380768579      0                        0                        -1.3317974969954043      0
-1.2999999999999998       0                        1.499622929857422        -1.2845837178128777E-9   0.7490948037541085       -0.2072521095053617      0                        0                        -1.3306118538520684      0
-1.29                     0                        1.499626121571455        1.5587664120283953E-9    0.7470126821831854       -0.2091759903570518      0                        0                        -1.329415721704112       0
-1.28                     0                        1.4996293597293329       -2.1686772068679155E-9   0.744911197137031        -0.2111247633595965      0                        0                        -1.3282154649774132      0
-1.27                     0                        1.4996326260622905       -4.91985883134231E-10    0.7427901506213409       -0.2130912550723271      0                        0                        -1.327003599261813       0
-1.26                     0                        1.4996358997720032       1.0173238723211846E-9    0.7406493064329565       -0.2150775826045675      0                        0                        -1.3257818716726641      0
-1.25                     0                        1.499639175527324        1.1142845821967042E-9    0.7384885767765699       -0.21707929740810158     0                        0                        -1.3245456978216636      0
-1.24                     0                        1.499642412452915        -6.772174112254136E-10   0.7363076082760078       -0.21911440270436225     0                        0                        -1.3233125206868306      0
-1.23                     0                        1.4996455901717556       -1.4124906664926213E-9   0.7341062669393037       -0.22116142755125143     0                        0                        -1.3220606534842279      0
-1.22                     0                        1.4996486717665052       2.8812208814487083E-9    0.731884314451958        -0.22322906991788358     0                        0                        -1.3207984099725016      0
