% Model:              C2DNSEps002PeEps.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 16:15
% Dimension:          2
% Nodes:              4001
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, , , Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+0.02*u2x
-1                        -0.5                     1                        -5.699157243350037E-15   1                        -4.5333275799919193E-7   3.552713678800501E-15    -1.0000000090666552
-0.999                    -0.5                     0.9999955787334296       -1.0546940871721418E-7   0.99999999952498         -4.967071980388482E-7    -2.184918912462308E-12   -0.9999955881925556
-0.998                    -0.5                     0.9999851478935018       -2.1076257939564636E-7   0.9999999990065858       -5.400816576184297E-7    -4.369837824924616E-12   -0.9999851577017355
-0.997                    -0.5                     0.9999687074802164       -3.1587951773438084E-7   0.9999999984448167       -5.834561118689408E-7    -6.558309451065725E-12   -0.9999687175942039
-0.996                    -0.5                     0.9999462574935736       -4.20820223733478E-7     0.9999999978396734       -6.268305714485223E-7    -8.736122936170432E-12   -0.9999462678699745
-0.995                    -0.5                     0.999917797933573        -5.255846973928734E-7    0.9999999971911554       -6.702050185936059E-7    -1.0935252703347942E-11  -0.9999178085290598
-0.994                    -0.5                     0.9998833288002155       -6.301729387126281E-7    0.9999999964992635       -7.135794781731875E-7    -1.3111289831613249E-11  -0.999883339571477
-0.993                    -0.5                     0.9998428500935002       -7.345849476926242E-7    0.9999999957639967       -7.569539359764121E-7    -1.5303314171433158E-11  -0.9998428609972413
-0.992                    -0.5                     0.9997963618134273       -8.388207243330144E-7    0.9999999949853555       -8.003283848978526E-7    -1.7481127656537865E-11  -0.9997963728063718
-0.991                    -0.5                     0.999743863959997        -9.428802686337984E-7    0.9999999941633401       -8.437028382601852E-7    -1.9664270212160773E-11  -0.999743874998889
-0.99                     -0.5                     0.9996853565332093       -1.0467635805948716E-6   0.99999999329795         -8.870772916225178E-7    -2.184741276778368E-11   -0.9996853675748139
-0.989                    -0.5                     0.9996208395330639       -1.150470660216393E-6    0.9999999923891854       -9.30451737879423E-7     -2.403943710760359E-11   -0.9996208505341697
-0.988                    -0.5                     0.9995503129595612       -1.2540015074980372E-6   0.9999999914370462       -9.738262050085211E-7    -2.6227908733744698E-11  -0.9995503238769822
-0.987                    -0.5                     0.999473776812701        -1.3573561224400838E-6   0.9999999904415328       -1.0172006583708537E-6   -2.8408386754108506E-11  -0.9994737876032768
-0.986                    -0.5                     0.9993912310924833       -1.4605345050424143E-6   0.999999989402645        -1.0605751188386137E-6   -3.058886477447231E-11   -0.999391241713082
-0.985                    -0.5                     0.9993026757989081       -1.5635366553051949E-6   0.9999999883203827       -1.1039495649844966E-6   -3.278000093587252E-11   -0.9993026862064266
-0.984                    -0.5                     0.9992081109319753       -1.6663625732283693E-6   0.999999987194746        -1.1473240147386043E-6   -3.495354006233242E-11   -0.9992081210833419
-0.983                    -0.5                     0.9991075364916852       -1.7690122588116733E-6   0.9999999860257346       -1.1906984787035668E-6   -3.714140106580999E-11   -0.9991075463438608
-0.982                    -0.5                     0.9990009524780373       -1.8714857120555322E-6   0.9999999848133488       -1.234072930067498E-6    -3.93467480819254E-11    -0.999000961988017
-0.981                    -0.5                     0.9988883588910322       -1.97378293295957E-6     0.9999999835575888       -1.277447390535258E-6    -4.1523229299400555E-11  -0.9988883680158469
-0.98                     -0.5                     0.9987697557306694       -2.07590392152411E-6     0.999999982258454        -1.3208218350158063E-6   -4.3717918174479564E-11  -0.9987697644273865
-0.979                    -0.5                     0.9986451429969494       -2.1778486777488343E-6   0.999999980915945        -1.3641963043653504E-6   -4.589928437326307E-11   -0.9986451512226767
-0.978                    -0.5                     0.9985145206898718       -2.2796172016338443E-6   0.9999999795300616       -1.4075707506222557E-6   -4.8059334289973776E-11  -0.998514528401756
-0.977                    -0.5                     0.9983778888094366       -2.381209493179412E-6    0.9999999781008035       -1.4509452093136588E-6   -5.0258464057151286E-11  -0.9983778959646672
-0.976                    -0.5                     0.9982352473556441       -2.4826255523852104E-6   0.9999999766281712       -1.4943196440242446E-6   -5.242917211489839E-11   -0.9982352539114536
-0.975                    -0.5                     0.9980865963284938       -2.5838653792513E-6      0.9999999751121641       -1.5376941195910376E-6   -5.4651394520988106E-11  -0.9980866022421608
