% Model:              C2DNSEps002PeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 3 2021, 17:52
% Dimension:          2
% Nodes:              4001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, , , Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-1                        -0.5                     1                        -5.699157243350038E-15   1                        -4.5332950371346215E-7   3.552713678800501E-15
-0.999                    -0.5                     0.9999955787334296       -1.05469408718442E-7     0.9999999995249838       -4.96703119523545E-7     -2.184918912462308E-12
-0.998                    -0.5                     0.9999851478935018       -2.1076257939803224E-7   0.9999999990065938       -5.400767406626983E-7    -4.373390538603417E-12
-0.997                    -0.5                     0.9999687074802164       -3.158795177378618E-7    0.9999999984448302       -5.834503706836358E-7    -6.558309451065725E-12
-0.996                    -0.5                     0.9999462574935736       -4.208202237379708E-7    0.9999999978396932       -6.268239918227891E-7    -8.739675649849232E-12
-0.995                    -0.5                     0.999917797933573        -5.255846973983625E-7    0.999999997191182        -6.701976147382993E-7    -1.0935252703347942E-11
-0.994                    -0.5                     0.9998833288002155       -6.301729387189894E-7    0.9999999964992979       -7.1357124298288E-7      -1.3113066188452649E-11
-0.993                    -0.5                     0.9998428500935002       -7.34584947699761E-7     0.9999999957640398       -7.569448694511038E-7    -1.5301537814593758E-11
-0.992                    -0.5                     0.9997963618134273       -8.388207243409923E-7    0.9999999949854079       -8.003184941429708E-7    -1.7486456727056066E-11
-0.991                    -0.5                     0.999743863959997        -9.428802686424664E-7    0.9999999941634029       -8.436921161703026E-7    -1.9667822925839573E-11
-0.99                     -0.5                     0.9996853565332093       -1.0467635806041328E-6   0.9999999932980239       -8.870657453030617E-7    -2.185096548146248E-11
-0.989                    -0.5                     0.9996208395330639       -1.1504706602261507E-6   0.9999999923892711       -9.304393673303935E-7    -2.404121346444299E-11
-0.988                    -0.5                     0.9995503129595612       -1.2540015075083028E-6   0.9999999914371452       -9.738129960190633E-7    -2.6227908733744698E-11
-0.987                    -0.5                     0.999473776812701        -1.3573561224507606E-6   0.9999999904416453       -1.0171866251518225E-6   -2.8407498575688805E-11
-0.986                    -0.5                     0.9993912310924833       -1.4605345050534594E-6   0.9999999894027718       -1.0605602542845816E-6   -3.0594193844990514E-11
-0.985                    -0.5                     0.9993026757989081       -1.5635366553165117E-6   0.9999999883205248       -1.1039338690954636E-6   -3.278399773876117E-11
-0.984                    -0.5                     0.9992081109319753       -1.666362573239915E-6    0.9999999871949041       -1.147307494619998E-6    -3.496358758070528E-11
-0.983                    -0.5                     0.9991075364916852       -1.769012258823351E-6    0.9999999860259098       -1.1906811236972459E-6   -3.715028285000699E-11
-0.982                    -0.5                     0.9990009524780373       -1.8714857120672994E-6   0.9999999848135418       -1.2340547472788899E-6   -3.934719217113525E-11
-0.981                    -0.5                     0.9988883588910322       -1.97378293297133E-6     0.9999999835578002       -1.277428376411649E-6    -4.1529446548338456E-11
