% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              4001
% Expressions:        10
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                -u*u3+0.1*u3x            u5 (1)                   u5x (1/m)                u5y (1/m)                -u*u5+0.1*u5x
-1                        -0.5                     1                        0                        1                        -4.3736174859532184E-7   0                        -1.000000043736175       0                        0                        0                        0
-0.999                    -0.5                     0.999996562309391        5.332214387592962E-7     0.9999999995457706       -4.7110613394831674E-7   -9.351375993902155E-12   -0.9999966089657766      0                        0                        0                        0
-0.998                    -0.5                     0.9999870369081214       1.064940519360822E-6     0.9999999990577877       -5.048598044964142E-7    -3.653211364896087E-12   -0.9999870864519017      0                        0                        0                        0
-0.997                    -0.5                     0.9999714237961911       1.5951572418102812E-6    0.999999998536051        -5.38613460833657E-7     2.091138541763128E-12    -0.99997147619363        0                        0                        0                        0
-0.996                    -0.5                     0.9999497229735999       2.1238716061076713E-6    0.999999997980561        -5.723671384871817E-7    7.764434174974778E-12    -0.9999497781909763      0                        0                        0                        0
-0.995                    -0.5                     0.9999219344403476       2.6510836122529717E-6    0.9999999973913167       -6.061207877189971E-7    1.3469704231210001E-11   -0.9999219924439467      0                        0                        0                        0
-0.994                    -0.5                     0.9998880581964351       3.1767932602462358E-6    0.9999999967683191       -6.398744440562399E-7    1.920161964012186E-11    -0.9998881189525604      0                        0                        0                        0
-0.993                    -0.5                     0.9998480942418617       3.7010005500874374E-6    0.9999999961115678       -6.736281030580178E-7    2.489356701999736E-11    -0.9998481577168304      0                        0                        0                        0
-0.992                    -0.5                     0.9998020425766275       4.22370548177655E-6      0.9999999954210629       -7.073817934791074E-7    3.0606053526033136E-11   -0.9998021087367761      0                        0                        0                        0
-0.991                    -0.5                     0.9997499032007326       4.7449080553136124E-6    0.9999999946968045       -7.411354272788228E-7    3.631121255997526E-11    -0.9997499720124061      0                        0                        0                        0
-0.99                     -0.5                     0.9996916761141769       5.2646082706985854E-6    0.9999999939387922       -7.74889099603277E-7     4.204046343360661E-11    -0.9996917475437479      0                        0                        0                        0
-0.989                    -0.5                     0.9996273613169601       5.782806127931482E-6     0.9999999931470259       -8.086427594932334E-7    4.7736851705709055E-11   -0.9996274353308157      0                        0                        0                        0
-0.988                    -0.5                     0.9995569588090828       6.299501627012316E-6     0.9999999923215066       -8.423964105014057E-7    5.345633261661667E-11    -0.9995570353736323      0                        0                        0                        0
-0.987                    -0.5                     0.9994804685905451       6.81469476794106E-6      0.9999999914622335       -8.761500846022168E-7    5.915449724557992E-11    -0.9994805476722227      0                        0                        0                        0
-0.986                    -0.5                     0.9993978906613462       7.328385550717802E-6     0.9999999905692066       -9.099037409394596E-7    6.487397815657317E-11    -0.9993979722266053      0                        0                        0                        0
-0.985                    -0.5                     0.9993092250214866       7.840573975342503E-6     0.9999999896424261       -9.436574079348433E-7    7.058635364012317E-11    -0.9993093090368081      0                        0                        0                        0
-0.984                    -0.5                     0.9992144716709661       8.351260041814977E-6     0.9999999886818914       -9.774110607193722E-7    7.629162369657247E-11    -0.9992145581028543      0                        0                        0                        0
-0.983                    -0.5                     0.9991137245010305       8.860475949442925E-6     0.9999999876890702       -1.0149679686746957E-6   8.371727176856882E-11    -0.9991138136978084      0                        0                        0                        0
-0.982                    -0.5                     0.9990071640889785       9.368309911829646E-6     0.999999986649611        -1.063949782949501E-6    9.168738456967207E-11    -0.9990072571468225      0                        0                        0                        0
-0.981                    -0.5                     0.9988947940196323       9.874766833675085E-6     0.9999999855611703       -1.11293163985687E-6     9.965039194350336E-11    -0.9988948908899246      0                        0                        0                        0
-0.98                     -0.5                     0.9987766142929924       1.0379846714979319E-5    0.9999999844237478       -1.1619134861060981E-6   1.0760984660369867E-10   -0.9987767149271446      0                        0                        0                        0
-0.979                    -0.5                     0.998652624909058        1.088354955574224E-5     0.9999999832373435       -1.2108953288026128E-6   1.1557995940488758E-10   -0.99865272925852        0                        0                        0                        0
-0.978                    -0.5                     0.9985228258678295       1.1385875355963933E-5    0.999999982001957        -1.2598771697227703E-6   1.2354119042185805E-10   -0.9985229338840897      0                        0                        0                        0
-0.977                    -0.5                     0.9983872171693071       1.188682411564424E-5     0.9999999807175891       -1.3088590141956418E-6   1.3150419779568935E-10   -0.998387328803896       0                        0                        0                        0
-0.976                    -0.5                     0.9982457988134905       1.2386395834783387E-5    0.9999999793842392       -1.3578408577803346E-6   1.394574352069093E-10    -0.9982459140179797      0                        0                        0                        0
-0.975                    -0.5                     0.9980985708003797       1.288459051338123E-5     0.9999999780019073       -1.4068226973682248E-6   1.474408706843241E-10    -0.9980986895263845      0                        0                        0                        0
