% Model:              C2DNSEps01Pe1.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 17:05
% Dimension:          2
% Nodes:              4001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, , , Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-1                        -0.5                     1                        -5.699157243350037E-15   1                        -4.533109727589135E-7    3.552713678800501E-15
-0.999                    -0.5                     0.9999955787334296       -1.0546940871622161E-7   0.9999999995250046       -4.966798705652309E-7    -2.184918912462308E-12
-0.998                    -0.5                     0.9999851478935018       -2.1076257939366664E-7   0.9999999990066404       -5.400487737006188E-7    -4.369837824924616E-12
-0.997                    -0.5                     0.9999687074802164       -3.1587951773144645E-7   0.9999999984449071       -5.834176857177908E-7    -6.558309451065725E-12
-0.996                    -0.5                     0.9999462574935736       -4.208202237295944E-7    0.9999999978398049       -6.267865888531787E-7    -8.736122936170432E-12
-0.995                    -0.5                     0.999917797933573        -5.255846973881003E-7    0.9999999971913337       -6.701554937649234E-7    -1.0931699989669141E-11
-0.994                    -0.5                     0.9998833288002155       -6.301729387069165E-7    0.9999999964994942       -7.135244040057387E-7    -1.3105960761095048E-11
-0.993                    -0.5                     0.9998428500935002       -7.345849476860339E-7    0.9999999957642851       -7.568933124701971E-7    -1.5303314171433158E-11
-0.992                    -0.5                     0.9997963618134273       -8.388207243256049E-7    0.9999999949857072       -8.002622120528713E-7    -1.7479351299698465E-11
-0.991                    -0.5                     0.999743863959997        -9.42880268625521E-7     0.9999999941637606       -8.436311160764376E-7    -1.9660717498481972E-11
-0.99                     -0.5                     0.9996853565332093       -1.0467635805857856E-6   0.9999999932984451       -8.870000272054313E-7    -2.184918912462308E-11
-0.989                    -0.5                     0.9996208395330639       -1.15047066020645E-6     0.9999999923897605       -9.303689312289976E-7    -2.403854892918389E-11
-0.988                    -0.5                     0.9995503129595612       -1.2540015074873508E-6   0.9999999914377072       -9.73737841913902E-7     -2.6224356020065898E-11
-0.987                    -0.5                     0.999473776812701        -1.3573561224286054E-6   0.9999999904422848       -1.0171067459374683E-6   -2.8403057683590305E-11
-0.986                    -0.5                     0.9993912310924833       -1.4605345050302034E-6   0.9999999894034937       -1.060475657066462E-6    -3.058842068526246E-11
-0.985                    -0.5                     0.9993026757989081       -1.5635366552922569E-6   0.9999999883213337       -1.1038445680844333E-6   -3.2777558445218347E-11
-0.984                    -0.5                     0.9992081109319753       -1.6663625732147096E-6   0.9999999871958047       -1.1472134578416338E-6   -3.4956260108742754E-11
-0.983                    -0.5                     0.9991075364916852       -1.7690122587972974E-6   0.9999999860269065       -1.1905823760205436E-6   -3.714206719962476E-11
-0.982                    -0.5                     0.9990009524780373       -1.8714857120404997E-6   0.9999999848146398       -1.2339512780457085E-6   -3.934541581429585E-11
-0.981                    -0.5                     0.9988883588910322       -1.9737829329438865E-6   0.9999999835590039       -1.2773201820692748E-6   -4.1519676585721754E-11
-0.98                     -0.5                     0.9987697557306694       -2.0759039215077806E-6   0.9999999822599994       -1.3206890914219116E-6   -4.3719694531318964E-11
-0.979                    -0.5                     0.9986451429969494       -2.1778486777319186E-6   0.9999999809176259       -1.3640580025509053E-6   -4.589928437326307E-11
-0.978                    -0.5                     0.9985145206898718       -2.2796172016162933E-6   0.9999999795318837       -1.4074269101271852E-6   -4.8057557933134376E-11
-0.977                    -0.5                     0.9983778888094366       -2.381209493161286E-6    0.9999999781027722       -1.4507958177034652E-6   -5.0254911343472486E-11
-0.976                    -0.5                     0.9982352473556441       -2.4826255523665142E-6   0.9999999766302917       -1.4941647012989279E-6   -5.2436277542255993E-11
-0.975                    -0.5                     0.9980865963284938       -2.58386537923204E-6     0.9999999751144425       -1.537533623974241E-6    -5.4642512736791105E-11
-0.974                    -0.5                     0.9979319357279863       -2.684928973757912E-6    0.9999999735552247       -1.5809025324386994E-6   -5.682565529241401E-11
-0.973                    -0.5                     0.9977712655541212       -2.7858163359440777E-6   0.9999999719526375       -1.6242714568903693E-6   -5.900702149119752E-11
-0.972                    -0.5                     0.9976045858068988       -2.8865274657907495E-6   0.9999999703066816       -1.6676403227222636E-6   -6.119904583101743E-11
-0.971                    -0.5                     0.9974318964863186       -2.98706236329769E-6     0.9999999686173567       -1.711009263161145E-6    -6.336264846140693E-11
-0.97                     -0.5                     0.997253197592381        -3.087421028465018E-6    0.999999966884663        -1.7543781485329646E-6   -6.555822551490564E-11
-0.969                    -0.5                     0.997068489125086        -3.187603461292679E-6    0.9999999651086007       -1.7977470587737798E-6   -6.775380256840435E-11
-0.968                    -0.5                     0.9968779561049218       -3.287600385854392E-6    0.9999999635012844       -1.3687590431342764E-6   -4.985627272583577E-12
-0.967                    -0.5                     0.9966820440037892       -3.387417031482806E-6    0.9999999620681945       -1.4974202903608519E-6   -1.9148969330422E-11
-0.966                    -0.5                     0.9964806633402248       -3.487068811930771E-6    0.9999999605064438       -1.626081548245568E-6    -3.335139123872723E-11
-0.965                    -0.5                     0.9962738141142284       -3.5865557271982613E-6   0.9999999588160318       -1.7547428061302846E-6   -4.750052244185045E-11
-0.964                    -0.5                     0.9960614963258005       -3.685877777285263E-6    0.9999999569969582       -1.8834040480277896E-6   -6.167452264072528E-11
-0.963                    -0.5                     0.9958437099749404       -3.785034962191911E-6    0.9999999550492236       -2.0120653201233608E-6   -7.586273369489897E-11
-0.962                    -0.5                     0.9956204550616485       -3.884027281918109E-6    0.9999999529728276       -2.1407265673499364E-6   -9.00260757527374E-11
-0.961                    -0.5                     0.9953917315859251       -3.982854736463585E-6    0.9999999507677705       -2.2693878039183702E-6   -1.0420185230815979E-10
-0.96                     -0.5                     0.9951575395477696       -4.08151732582873E-6     0.9999999484340522       -2.398049067132158E-6    -1.1836874708026067E-10
-0.959                    -0.5                     0.994917878947182        -4.1800150500133695E-6   0.9999999459716722       -2.5267103232405173E-6   -1.3256406356091648E-10
-0.958                    -0.5                     0.9946727497841629       -4.278347909017569E-6    0.9999999433806315       -2.6553715784606983E-6   -1.467043129798427E-10
-0.957                    -0.5                     0.9944221520587119       -4.3765159028412314E-6   0.9999999406609291       -2.7840328336808797E-6   -1.6090229399634125E-10
-0.956                    -0.5                     0.9941660857708288       -4.474519031484259E-6    0.9999999378125656       -2.912694096894667E-6    -1.750816232658802E-10
-0.955                    -0.5                     0.9939045509205139       -4.572357294946662E-6    0.9999999348355411       -3.041355340568529E-6    -1.8924363305674568E-10
-0.954                    -0.5                     0.9936375475077673       -4.670030693229363E-6    0.999999931729855        -3.170016588905327E-6    -2.0341585689892702E-10
-0.953                    -0.5                     0.9933650755325889       -4.767539226330919E-6    0.9999999284955077       -3.298677839296038E-6    -2.1759551923495384E-10
-0.952                    -0.5                     0.9930871349949788       -4.864882894252588E-6    0.9999999251324992       -3.4273391022322695E-6   -2.3177540361602334E-10
-0.951                    -0.5                     0.9928037258949363       -4.962061696993503E-6    0.9999999216408295       -3.556000354343826E-6    -2.459374134064146E-10
-0.95                     -0.5                     0.9925148482324623       -5.059075634553773E-6    0.9999999180204987       -3.6846616135608104E-6   -2.6011318996227476E-10
-0.949                    -0.5                     0.9922205020075564       -5.1559247069335155E-6   0.9999999142715065       -3.813322866116456E-6    -2.742854138044561E-10
-0.948                    -0.5                     0.9919206872202186       -5.2526089141330564E-6   0.9999999103938529       -3.941984118228013E-6    -2.8845852582505714E-10
