% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-1                        -2                       0                        0                        0                        -5.561988295182929E-22   0
-0.97                     -2                       0                        0                        9.035602231238384E-24    1.0502413756828859E-21   4.087481754598727E-22
-0.94                     -2                       0                        0                        3.210632133178291E-23    3.545287322478621E-21    2.2242879237994014E-21
-0.91                     -2                       0                        0                        1.0784918315312777E-22   8.301629276615307E-21    7.17655650555617E-21
-0.88                     -2                       0                        0                        6.595213419171071E-22    -1.6593575629652304E-20  -1.1518540958601449E-20
-0.85                     -2                       0                        0                        3.584432903658471E-21    2.11587679745743E-19     2.3890490596930154E-19
-0.8200000000000001       -2                       0                        0                        1.0992139317438662E-20   7.126988011504531E-19    9.184787282735952E-19
-0.79                     -2                       0                        0                        3.189123985077231E-20    1.8963288429435906E-18   2.787169670551329E-18
-0.76                     -2                       0                        0                        1.0398531527936371E-19   2.7970728542484E-18      5.2947784081506116E-18
-0.73                     -2                       0                        0                        4.433304346202939E-19    -7.446099896156975E-18   -5.927085683774784E-18
-0.7                      -2                       0                        0                        1.2544787524899529E-18   6.152265442080082E-17    1.015941995141513E-16
-0.67                     -2                       0                        0                        3.192675213907818E-18    1.517432078780427E-16    2.779385715856182E-16
-0.64                     -2                       0                        0                        8.234950355158738E-18    2.9321961593831216E-16   6.222087250836685E-16
-0.61                     -2                       0                        0                        2.3705196989282976E-17   2.7706892476631793E-16   9.162662087721028E-16
-0.5800000000000001       -2                       0                        0                        6.854536726278977E-17    2.712275760134148E-15    5.447872687133485E-15
-0.55                     -2                       0                        0                        1.5547806454858923E-16   6.104624163364558E-15    1.3411492971672435E-14
