% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              3001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c2, x component, Gradient of c2, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
0                         -2                       0                        0                        2.1773260129789576E-11   -4.238342190444345E-11   1.4661572351576706E-9
0                         -1.999                   0                        0                        2.3289357043349856E-11   1.9311920750477155E-11   1.5660365919632183E-9
0                         -1.998                   0                        0                        2.490533331371604E-11    8.100726340541195E-11    1.66591594876879E-9
0                         -1.997                   0                        0                        2.6621188940887417E-11   1.4270260606033256E-10   1.7657953055743383E-9
0                         -1.996                   0                        0                        2.8436923924864744E-11   2.0439794871526692E-10   1.865674662379909E-9
0                         -1.995                   0                        0                        3.035253826564722E-11    2.660932913701867E-10    1.965554019185458E-9
0                         -1.994                   0                        0                        3.23680319632357E-11     3.27788634025122E-10     2.0654333759910296E-9
0                         -1.993                   0                        0                        3.448340501762926E-11    3.894839766800431E-10    2.165312732796578E-9
0                         -1.992                   0                        0                        3.6698657428828886E-11   4.51179319334976E-10     2.2651920896021486E-9
0                         -1.991                   0                        0                        3.9013789196833546E-11   5.128746619898997E-10    2.3650714464076986E-9
0                         -1.99                    0                        0                        4.1428800321644294E-11   5.745700046448331E-10    2.464950803213269E-9
0                         -1.989                   0                        0                        4.394369080326006E-11    6.362653472997543E-10    2.5648301600188167E-9
0                         -1.988                   0                        0                        4.6558460641681956E-11   6.979606899546878E-10    2.6647095168243886E-9
0                         -1.987                   0                        0                        4.927310983690882E-11    7.596560326096083E-10    2.764588873629937E-9
0                         -1.986                   0                        0                        5.208763838894185E-11    8.213513752645435E-10    2.8644682304355076E-9
0                         -1.985                   0                        0                        5.500204629777981E-11    8.830467179194638E-10    2.9643475872410563E-9
0                         -1.984                   0                        0                        5.8016333563424E-11      9.447420605743988E-10    3.064226944046627E-9
0                         -1.983                   0                        0                        6.113050018587306E-11    1.0064374032293204E-9    3.164106300852176E-9
0                         -1.982                   0                        0                        6.434454616512837E-11    1.0681327458842536E-9    3.2639856576577476E-9
0                         -1.981                   0                        0                        6.765847150118854E-11    1.1298280885391738E-9    3.363865014463296E-9
0                         -1.98                    0                        0                        7.1072276194055E-11      1.1915234311941095E-9    3.4637443712688675E-9
0                         -1.979                   0                        0                        7.458596024372623E-11    1.2532187738490296E-9    3.5636237280744145E-9
0                         -1.978                   0                        0                        7.819952365020386E-11    1.3149141165039643E-9    3.663503084879987E-9
0                         -1.977                   0                        0                        8.191296641348621E-11    1.3766094591588844E-9    3.763382441685535E-9
0                         -1.976                   0                        0                        8.572628853357495E-11    1.4383048018138201E-9    3.8632617984911054E-9
0                         -1.975                   0                        0                        8.96394900104684E-11     1.5000001444687415E-9    3.963141155296654E-9
0                         -1.974                   0                        0                        9.365257084416828E-11    1.5616954871236743E-9    4.063020512102225E-9
0                         -1.973                   0                        0                        9.776553103467284E-11    1.623390829778594E-9     4.162899868907774E-9
0                         -1.972                   0                        0                        1.0197837058198387E-10   1.6850861724335307E-9    4.262779225713344E-9
0                         -1.971                   0                        0                        1.0629108948609953E-10   1.7467815150884515E-9    4.3626585825188954E-9
0                         -1.97                    0                        0                        1.1070368774702169E-10   1.8084768577433858E-9    4.462537939324465E-9
0                         -1.969                   0                        0                        1.1521616536474844E-10   1.870172200398307E-9     4.562417296130012E-9
0                         -1.968                   0                        0                        1.1982852233928175E-10   1.9318675430532416E-9    4.662296652935585E-9
0                         -1.967                   0                        0                        1.245407586706196E-10    1.9935628857081607E-9    4.762176009741134E-9
0                         -1.966                   0                        0                        1.2935287435876404E-10   2.0552582283630976E-9    4.8620553665467045E-9
0                         -1.965                   0                        0                        1.3426486940371297E-10   2.1169535710180192E-9    4.961934723352252E-9
0                         -1.964                   0                        0                        1.392767438054686E-10    2.1786489136729516E-9    5.061814080157825E-9
0                         -1.963                   0                        0                        1.443884975640286E-10    2.2403442563278707E-9    5.1616934369633706E-9
0                         -1.962                   0                        0                        1.4960013067939535E-10   2.3020395989828056E-9    5.2615727937689425E-9
0                         -1.961                   0                        0                        1.548593655289433E-10    1.2632651590368078E-9    4.025937190694491E-9
0                         -1.96                    0                        0                        1.5909636112760782E-10   1.4620236903680234E-9    4.448054006633546E-9
0                         -1.959                   0                        0                        1.6375547354221028E-10   1.6607822216991929E-9    4.870170822572506E-9
0                         -1.958                   0                        0                        1.688367027727529E-10    1.8595407530304039E-9    5.292287638511564E-9
