% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              4001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-1                        -0.5                     0                        0                        1                        1.2773782032127201E-11   0
-0.999                    -0.5                     0                        0                        1.0000000000000102       7.73425767874869E-12     3.552713678800501E-15
-0.998                    -0.5                     0                        0                        1.0000000000000155       2.6894042548519792E-12   0
-0.997                    -0.5                     0                        0                        1.0000000000000158       -2.360778239562933E-12   0
-0.996                    -0.5                     0                        0                        1.0000000000000107       -7.382539024547441E-12   3.552713678800501E-15
-0.995                    -0.5                     0                        0                        1.0000000000000009       -1.2443379659998755E-11  0
-0.994                    -0.5                     0                        0                        0.999999999999986        -1.7484680370216665E-11  1.7763568394002505E-15
-0.993                    -0.5                     0                        0                        0.9999999999999659       -2.2520652009916375E-11  8.881784197001252E-15
-0.992                    -0.5                     0                        0                        0.9999999999999408       -2.7560176363294886E-11  7.105427357601002E-15
-0.991                    -0.5                     0                        0                        0.9999999999999108       -3.26041416087719E-11    1.7763568394002505E-15
-0.99                     -0.5                     0                        0                        0.9999999999998755       -3.764366596215041E-11   8.881784197001252E-15
-0.989                    -0.5                     0                        0                        0.9999999999998352       -4.268763120762742E-11   6.217248937900877E-15
-0.988                    -0.5                     0                        0                        0.9999999999997903       -4.773470507757338E-11   7.105427357601002E-15
-0.987                    -0.5                     0                        0                        0.99999999999974         -5.277112080648294E-11   1.1546319456101628E-14
-0.986                    -0.5                     0                        0                        0.9999999999996847       -5.78075365353925E-11    5.329070518200751E-15
-0.985                    -0.5                     0                        0                        0.9999999999996243       -6.285105769165966E-11   9.325873406851315E-15
-0.984                    -0.5                     0                        0                        0.9999999999995588       -6.788561379700297E-11   1.0325074129013956E-14
-0.983                    -0.5                     0                        0                        0.9999999999994886       -7.293099457683638E-11   7.549516567451064E-15
-0.982                    -0.5                     0                        0                        0.9999999999994131       -7.798872658781875E-11   1.199040866595169E-14
-0.981                    -0.5                     0                        0                        0.9999999999993329       -8.30144841756919E-11    2.042810365310288E-14
-0.98                     -0.5                     0                        0                        0.9999999999992473       -8.806111395642802E-11   1.687538997430238E-14
-0.979                    -0.5                     0                        0                        0.9999999999991563       -9.311040827242323E-11   1.7763568394002505E-14
-0.978                    -0.5                     0                        0                        0.9999999999990608       -9.814282719844414E-11   1.9539925233402755E-14
-0.977                    -0.5                     0                        0                        0.9999999999989603       -1.0318856880076055E-10  1.5987211554602254E-14
-0.976                    -0.5                     0                        0                        0.9999999999988548       -1.0822809315413906E-10  1.2434497875801753E-14
-0.975                    -0.5                     0                        0                        0.9999999999987437       -1.1327827564855397E-10  1.2434497875801753E-14
-0.974                    -0.5                     0                        0                        0.9999999999986279       -1.1830714186089608E-10  1.0658141036401503E-14
-0.973                    -0.5                     0                        0                        0.9999999999985072       -1.23348442571114E-10    3.552713678800501E-15
-0.972                    -0.5                     0                        0                        0.9999999999983809       -1.283950723518501E-10   4.618527782440651E-14
-0.971                    -0.5                     0                        0                        0.9999999999982503       -1.3344170213258622E-10  2.4868995751603507E-14
